ticket_id,name,pipeline,status,priority,owner_user_id,source,issue_of_interest,issued_ticket_before,name_embedding,issue_embedding
1,"Subject: Routine Customer Interaction Follow-Up

Hi team,

Just wanted to touch base about a recent interaction with a customer. During our conversation, we discussed the benefits of our new product line and the customer seemed quite interested in making a purchase. However, there was a minor hiccup with the delivery timeline that caused some frustration on their end. I assured them that we would do everything in our power to resolve the issue quickly and they seemed satisfied with that response.

Overall, the interaction was positive, but the delivery issue did put a slight damper on the customer's experience. I recommend keeping an eye on their account to ensure that we fulfill our promise of a timely resolution.

Let me know if you have any further insights or suggestions on how to better",Support Pipeline,In Progress,High,1,Chat,Delivery Problem,True,,
2,"Had a routine check-in call with Mr. Smith today regarding his recent purchase of a new laptop. He seemed pleased with the product functionality and mentioned that it was meeting his needs. However, he did express some frustration about the delayed delivery, which he felt was longer than expected. Overall, the interaction was positive, and Mr. Smith appreciated the follow-up. Will continue to monitor his satisfaction with the product.",Support Pipeline,Closed,High,3,Phone,Billing Question,True,,
3,"During my recent interaction with the customer, they expressed great interest in our new product line and seemed enthusiastic about the features and benefits. However, there was a slight issue with their delivery, as it arrived a day later than expected. Despite this minor setback, the customer was understanding and appreciated our efforts to resolve the issue promptly. Overall, the check-in was positive, but we will continue to monitor their satisfaction to ensure we meet their expectations in the future.",Support Pipeline,New,Low,3,Email,General Inquiry,False,,
4,"I spoke with Mr. Smith today about his recent purchase of our new product line. He seemed very pleased with the quality and design of the items, which was great to hear. However, he did mention a minor delivery issue with one of the items arriving damaged. I assured him that we would look into the matter and get it resolved promptly. Overall, it was a positive interaction with just a slight hiccup that we will address promptly.",Support Pipeline,Closed,Low,1,Email,Product Issue,True,,
5,"Today, I had a routine customer interaction with Mr. Johnson regarding his recent purchase of our new product line. He seemed quite pleased with the quality and design of the products, which was great to hear. However, he did mention a minor delivery issue where one of the items arrived a day later than expected. I assured him that I would look into the matter and ensure that it doesn't happen again in the future. Overall, it was a positive conversation, but the delivery issue did put a slight damper on his experience. I will follow up with him soon to make sure everything is resolved to his satisfaction.",Support Pipeline,Waiting on Customer,Low,3,Web,Billing Question,False,,
6,"Had a routine check-in call with customer today regarding their recent order. Customer seemed pleased with the product quality but mentioned a minor issue with the delivery time. Assured them we would look into it and thanked them for their feedback. Overall, interaction was positive with a slight hiccup.",Support Pipeline,Waiting on Customer,Low,2,Email,General Inquiry,False,,
7,"I had a routine customer interaction with Mr. Smith today regarding his recent purchase of our new product. He seemed very enthusiastic about the features and benefits of the product and was eager to learn more about how to maximize its potential for his business. However, there was a slight hiccup with the delivery of his order, which caused him some frustration. Despite this minor issue, Mr. Smith was understanding and appreciative of my quick response and resolution efforts. Overall, it was a positive interaction with a minor bump in the road that was swiftly addressed.",Support Pipeline,New,High,3,Phone,Delivery Problem,False,,
8,"During a recent customer call, we had a friendly discussion about our new product line and the customer seemed excited about the options available. However, there was a minor delivery issue with their last order, which left them slightly frustrated. I assured them that we would investigate the issue and make sure it doesn't happen again in the future. Overall, the check-in was positive, but we need to work on improving our delivery process to better serve our customers.",Support Pipeline,Closed,Medium,2,Web,Product Issue,True,,
9,"During my recent call with Mr. Smith, we had a positive conversation about the benefits of our new product line. He seemed enthusiastic and interested in potentially making a purchase in the near future. However, there was a slight hiccup when discussing his recent delivery, as he mentioned that one item was missing from his order. I assured him that I would look into this issue and get back to him promptly. Overall, it was a good check-in with a loyal customer, despite the minor delivery issue.",Support Pipeline,Closed,High,2,Chat,Billing Question,False,,
10,"I had a routine customer interaction with Mr. Smith today regarding his recent purchase of our new product. He seemed quite pleased with the features and benefits of the product we discussed, which was great to hear. However, he did mention a minor delivery issue with his order, which slightly dampened his overall experience. I assured him that we would look into the matter and resolve it promptly to ensure his satisfaction. Overall, it was a good check-in with Mr. Smith, and we were able to address his concerns effectively.",Support Pipeline,Closed,Low,2,Web,Delivery Problem,False,,
